S.No.,Property_Name,Price_in_INR,No_of_Bedroom,Property_type,No_of_Bathroom,Carpet_Area(Sq Ft),Garden,Property Status,Parking,Council_Tax
37,"Knightsbridge Gate, Apartment 6, 55 Knightsbridge, SW1X",2147483648,6,Penthouse,6,6000,Ask agent,"TENURE
Leasehold",Ask agent,Band: H
38,"Knightsbridge, London, SW1X",2147483648,6,Apartment,6,6000,Terrace,"TENURE
Leasehold",Yes,Ask agent
39,"Park Crescent, Regent's Park, London, W1B",2147483648,5,Duplex,6,5000,Ask agent,"TENURE
Leasehold",Yes,Band: H
40,"Old Park Lane, London, W1K",2147483648,5,Apartment,5,5000,Ask agent,-,Ask agent,Ask agent
41,"Cambridge Gate, Regents Park, London, NW1",2147483648,5,Flat,5,0,Yes,"TENURE
Leasehold",Yes,Band: H
42,"Chester Square, London, SW1W",2147483648,6,Terraced,7,6000,Ask agent,-,Yes,Band: TBC
43,"Elsworthy Road, St John's Wood, London, NW3",2147483648,5,Detached,5,10000,Yes,-,Yes,Band: H
44,"Chester Square, London, SW1W",2147483648,6,Town House,7,6000,Ask agent,-,Yes,Ask agent
45,Chester Square,2147483648,6,Terraced,6,6000,Yes,-,Yes,Band: D
46,"Cornwall Terrace, Regent's Park",2147483648,6,Terraced,6,9000,Ask agent,"TENURE
Leasehold",Yes,Band: TBC
47,"Chester Square, London",2147483648,6,House,7,6000,Yes,-,Ask agent,Ask agent
48,"Elsworthy Road, Primrose Hill, London",2147483648,5,Detached,5,0,Yes,-,Yes,Band: TBC
49,"Lowndes Square, London, SW1X",2147483648,10,Terraced,9,12000,Yes,-,Yes,Band: H
50,"Grange Park, Ealing, London, W5",63600699,2,Flat,1,670000,Yes,"TENURE
Share of Freehold",Yes,Band: E
51,"Elsworthy Road, London, NW3",2147483648,5,Semi-Detached,4,10000,Yes,-,Yes,Ask agent
52,"Cumberland Terrace, Regent's Park, London, NW1",2147483648,6,Terraced,8,5000,Ask agent,"TENURE
Leasehold",Yes,Band: H
53,"Elsworthy Road, London, NW3",2147483648,5,Detached,4,0,Yes,-,Yes,Band: H
54,"One Hyde Park, Knightsbridge",2147483648,3,Apartment,3,0,Terrace,"TENURE
Leasehold",Off street,Ask agent
55,"Lowndes Square, London, SW1X",2147483648,10,Town House,10,7000,Yes,-,Yes,Band: H
56,"Winnington Road, N2",2147483648,6,Detached,6,16000,Yes,-,Yes,Band: H
57,"Herbert Crescent, London, SW1X",2147483648,7,Terraced,9,7000,Ask agent,-,Ask agent,Band: TBC
58,"St. John's Wood, London, NW8",2147483648,8,Detached,10,10000,Ask agent,-,Ask agent,Ask agent
59,"Winnington Road, London, N2",2147483648,6,Detached,9,16000,Yes,-,Yes,Band: H
60,"One Kensington Gardens, Kensington, London, W8 5NX",2147483648,5,Apartment,5,0,Yes,"TENURE
Share of Freehold",Yes,Ask agent
61,"Phillimore Gardens, London, W8",2147483648,5,Semi-Detached,4,0,Yes,-,Ask agent,Band: H
62,"One Kensington Gardens, Kensington Road, London",2147483648,5,Flat,5,5000,Yes,"TENURE
Share of Freehold",Yes,Band: H
63,"Phillimore Gardens, London, W8",2147483648,5,End of Terrace,5,5000,Yes,-,Yes,Band: H
64,"The Bishops Avenue, Hampstead, London, N2",2147483648,5,Penthouse,6,9000,Yes,"TENURE
Share of Freehold",Yes,Band: H
65,"Culross Street, Mayfair, London, W1K",2147483648,6,Terraced,6,8000,Yes,-,Ask agent,Band: H
66,"Holland Villas Road, Holland Park, London",2147483648,6,Terraced,4,7000,Yes,-,Yes,Band: H
67,"Holland Villas Road, Holland Park, London, W14",2147483648,6,Detached,4,0,Yes,-,Yes,Band: H
68,"Ilchester Place, London, W14",2147483648,7,Terraced,5,8000,Yes,-,Ask agent,Band: H
69,"Buckingham Gate, St James's Park",2147483648,5,House,6,0,Yes,-,Off street,Ask agent
70,"Pembroke Gardens,London,W8",2147483648,7,Detached,6,12000,"Private garden,",-,Garage,Ask agent
71,"Pembroke Gardens, Kensington, W8",2147483648,8,Detached,7,12000,Yes,-,Yes,Ask agent
72,"Knightsbridge Gate, Apartment 5, 1 William Street, London, SW1X",2147483648,5,Penthouse,5,4000,Ask agent,"TENURE
Leasehold",Ask agent,Band: H
73,"William Street, London, SW1X",2147483648,5,Apartment,5,4000,Terrace,"TENURE
Leasehold",Ask agent,Ask agent
74,"Stratford Place, London, W1C",2147483648,5,Town House,5,9000,Ask agent,-,Ask agent,Ask agent
75,"Flood Street, Chelsea, SW3",424040000,4,House,2,2000,Ask agent,-,Yes,Band: H
76,"Wadham Gardens, St John's Wood, London, NW3",2147483648,4,Detached,6,6000,Yes,-,Yes,Band: H
77,"Hanover Terrace, Regents Park, London, NW1",2147483648,6,Terraced,6,6000,Private garden,"TENURE
Leasehold",Covered,Band: H
78,"Knightsbridge Gate, Apartment 5, 1 William Street, London, SW1X",2147483648,5,Penthouse,5,4000,Ask agent,"TENURE
Leasehold",Ask agent,Band: H
79,"Wadham Gardens, London, NW3",2147483648,5,Detached,8,6000,Ask agent,-,Yes,Band: H
80,"Ashburton Place, London, W1J",2147483648,3,Apartment,4,2000,Ask agent,-,Yes,Ask agent
82,"Lygon Place, Belgravia, London, SW1W.",2147483648,7,Terraced,7,0,Yes,-,Yes,Band: H
83,"Lygon Place, London, SW1W",2147483648,6,Town House,6,7000,Yes,-,Off street,Band: H
84,"Bedford Gardens, Kensington, London",2147483648,6,Semi-Detached,6,8000,Yes,-,Yes,Band: H
85,"Palace Court, London, W2",2147483648,7,Detached,7,6000,Yes,-,Yes,Band: H
86,"Hamilton Terrace, St John's Wood, London, NW8",2147483648,5,Detached,5,6000,Yes,-,Yes,Band: H
87,"Hamilton Terrace, St John's Wood, London, NW8",2147483648,5,Detached,5,6000,Yes,-,Yes,Band: TBC
88,"Lowndes Square, London, SW1X",2147483648,8,Penthouse,4,6000,Yes,"TENURE
Leasehold",Yes,Band: TBC
89,"Chester Square, London, SW1W",2147483648,6,House,6,7000,Terrace,"TENURE
Leasehold",Yes,Ask agent
90,"Grosvenor Square, London, W1K",2120200000,3,Apartment,5,5000,Yes,-,Yes,Ask agent
91,"One Hyde Park, Knightsbridge",2120200000,3,Apartment,3,0,Ask agent,"TENURE
Leasehold",Off street,Ask agent
92,"Hertford Street, Mayfair, London., W1J",2120200000,10,Terraced,10,4000,Ask agent,-,Yes,Band: F
93,"Mount Street, Mayfair, London, W1K",2120200000,4,Flat,3,0,Yes,"TENURE
Leasehold",Ask agent,Band: H
95,"Addison Road, London, W14",2120200000,12,Detached,6,6000,Ask agent,-,Yes,Band: H
96,"The Bishops Avenue, Hampstead, N2",2120200000,7,House,6,0,"Back garden,",-,"Garage,",Ask agent
97,"Mount Street, London, W1K",2120200000,4,Apartment,4,4000,Yes,-,Ask agent,Ask agent
98,"Gilston Road, Chelsea, London, SW10",2120200000,5,End of Terrace,5,6000,Yes,-,Yes,Band: H
99,"Pont Street, Knightsbridge",2120200000,5,Flat,7,0,Yes,"TENURE
Leasehold",Ask agent,Ask agent
100,"Slipway House, Burrells Wharf, E14",68906500,2,Apartment,3,0,Ask agent,"TENURE
Share of Freehold",Yes,Ask agent
101,"Romneys House, NW3",2120200000,6,House,6,9000,Yes,-,Covered,Ask agent
102,"Grosvenor Square, Mayfair, London, W1K",2114899500,5,Penthouse,5,4000,Yes,"TENURE
Leasehold",Ask agent,Band: H
103,"Park Lane, Mayfair",2114899500,5,Flat,5,3000,Ask agent,"TENURE
Leasehold",Yes,Ask agent
104,"Montrose Place, Belgravia, SW1X",2114899500,5,Flat,5,6000,Private garden,"TENURE
Leasehold",Private,Ask agent
105,"Frognal, Hampstead Village",2114899500,11,Detached,9,6000,Yes,-,Yes,Band: TBC
106,"Montrose Place, London, SW1X",2114899500,5,Apartment,4,6000,Ask agent,"TENURE
Leasehold",Yes,Band: H
107,"Frognal, Hampstead, NW3",2114899500,10,Detached,10,6000,Yes,-,Yes,Band: H
108,"Ebury Square, London, SW1W",2114899500,4,Flat,3,0,Ask agent,"TENURE
Leasehold",Yes,Band: H
109,"Grosvenor Square, Mayfair",2114899500,5,Flat,6,5000,Ask agent,"TENURE
Leasehold",Ask agent,Ask agent
110,"Portland Place, Marylebone, W1B",2093697500,5,End of Terrace,6,8000,Ask agent,"TENURE
Leasehold",Ask agent,Band: H
111,"Hanover Terrace, Regent's Park, London, NW1",2093697500,6,Terraced,5,7000,Yes,"TENURE
Leasehold",Ask agent,Band: H
112,"Wilton Crescent, London, SW1X",2067195000,6,Terraced,5,5000,Yes,-,Ask agent,Band: I
113,"Queens Grove, St John's Wood, London, NW8",2067195000,6,Semi-Detached,6,6000,Yes,-,Yes,Band: H
114,"Courtenay Avenue, N6",2067195000,6,Detached,3,9000,Yes,-,Yes,Ask agent
115,"Lyall Street, London, SW1X",2067195000,6,Villa,5,6000,Private garden,-,Covered,Ask agent
117,"The Bryanston, Hyde Park",2014190000,3,Flat,4,2000,Ask agent,-,Yes,Ask agent
118,"The Bryanston, Hyde Park, 55 Bryanston Street, Marylebone, London, W1H 7BZ",2014190000,4,Apartment,4,0,Ask agent,"TENURE
Leasehold",Yes,Ask agent
119,"Hanover Terrace, Regent's Park, NW1",2008889500,7,Terraced,6,6000,Yes,"TENURE
Leasehold",Yes,Band: H
120,"Hanover Terrace, London, NW1",2008889500,7,House,7,6000,Private garden,-,Yes,Ask agent
121,"View Road, Highgate, N6",2008889500,7,Detached,9,0,Yes,-,Yes,Band: H
122,"Hanover Terrace, London, NW1",2008889500,7,Terraced,6,0,Yes,"TENURE
Leasehold",Yes,Band: H
123,"Hanover Terrace, Regent's Park",2008889500,7,House,6,0,Enclosed garden,"TENURE
Leasehold",Off street,Ask agent
125,"Beltane Drive, Wimbledon, SW19",556552500,6,Detached,5,5000,Yes,-,Yes,Band: H
126,"Lygon Place, Belgravia, SW1W",1961185000,7,End of Terrace,7,0,Ask agent,-,Private,Ask agent
127,"The OWO, Whitehall, London, SW1A",1961185000,4,Apartment,1,3000,Yes,"TENURE
Leasehold",Yes,Ask agent
128,"Bourdon Street, Mayfair, London, W1K",1934682500,6,House,6,0,Yes,-,Yes,Band: H
129,"Chelsea Square, London, SW3",1934682500,6,Terraced,6,5000,Yes,-,Yes,Band: H
130,"Bourdon Street, Mayfair, W1K",1934682500,6,Town House,7,5000,Ask agent,-,Yes,Band: H
131,"Parkside, Wimbledon, London, SW19",1908180000,7,Detached,9,11000,Yes,-,Yes,Band: H
132,"Highwood Lodge Farm Estate, Highwood Hill, London, NW7",1908180000,6,Equestrian Facility,5,0,Yes,-,Yes,Band: H
133,"Highwood Lodge Farm Estate, Highwood Hill, Mill Hill, London, NW7",1908180000,7,Detached,5,0,Yes,-,Yes,Band: TBC
135,"Lanson Building, Chelsea Bridge Wharf, London, SW11",1908180000,7,Apartment,9,5000,Yes,"TENURE
Leasehold",Yes,Band: TBC
136,"Herbert Crescent, Knightsbridge, London",1908180000,5,House,7,4000,Yes,-,Ask agent,Ask agent
137,"Parkside, Wimbledon Village, SW19",1908180000,7,Detached,9,0,Yes,-,Yes,Band: H
138,"Winnington Road, Hampstead, London, N2",1908179893,8,Detached,8,10000,Yes,-,Yes,Band: H
139,"Winnington Road, N2",1908179893,6,Detached,7,10000,Yes,-,Yes,Band: H
140,"Culross Street, Mayfair, London, W1K",1902879500,5,Terraced,5,0,Ask agent,-,Yes,Band: H
141,"Garway Road, London, W2",1902879500,6,Detached,6,9000,Private garden,-,Yes,Band: H
142,"Chesham Place, London, SW1X",1902879500,4,Apartment,3,3000,Yes,"TENURE
Leasehold",Ask agent,Band: H
143,"Garway Road, Notting Hill, London",1902879500,6,Detached,6,9000,Yes,-,Yes,Band: H
144,"Lancelot Place, London, SW7",1881677500,5,Town House,3604,0,Ask agent,-,Yes,Ask agent
145,"Lancelot Place, London, SW7",1881677500,5,Town House,4013,0,Ask agent,-,Yes,Ask agent
146,"Kenway Road, London, SW5",1881677500,36,Block of Apartments,34,23000,Ask agent,-,Ask agent,Ask agent
147,"Lancer Square, Kensington Church St, London W8 4LD",1876377000,3,Penthouse,3,0,Ask agent,"TENURE
Leasehold",Yes,Ask agent
148,"Vicarage Gate House, London, W8",1855175000,5,Flat,6,0,Terrace,"TENURE
Leasehold",Yes,Ask agent
149,"Brompton Square, Knightsbridge, London, SW3",1855175000,7,Terraced,7,0,Ask agent,-,Ask agent,Band: H
150,"57 Gilbert House, Churchill Gardens, London, SW1V 3HW",42404000,2,Flat,1,0,Ask agent,-,Ask agent,Ask agent
151,"Vicarage Gate, London, W8",1855175000,5,Apartment,6,5000,Yes,-,Yes,Ask agent
152,"Lancer Square, Apartment 27, 1 Lancer Square, Kensington Church St, W8",1855175000,3,Penthouse,3,2000,Yes,"TENURE
Leasehold",Yes,Band: H
153,"Kensington, London, W8",1855175000,6,Apartment,6,5000,Yes,"TENURE
Share of Freehold",Ask agent,Ask agent
154,"Manhattan Loft Apartments, London, E20",1855175000,3,Penthouse,3,4000,Yes,-,Ask agent,Ask agent
156,"Vicarage Gate, Kensington, London, W8",1855175000,5,Flat,6,5000,"Back garden,","TENURE
Leasehold",Yes,Ask agent
157,"Cadogan Square, Knightsbridge, London, SW1X",1855175000,7,Apartment,7,8000,Yes,-,Ask agent,Band: H
158,"Knightsbridge, London, SW1X",1828672500,4,Apartment,2,3000,Ask agent,"TENURE
Leasehold",Yes,Ask agent
159,"Hamilton Terrace, London, NW8",1802170000,10,Detached,5,7000,Yes,-,Yes,Ask agent
160,Chester Terrace,1796869500,6,End of Terrace,6,4000,Yes,"TENURE
Leasehold",Yes,Band: TBC
161,"Chester Terrace, Regent's Park, London, NW1",1796869500,6,Terraced,7,0,Yes,"TENURE
Leasehold",Yes,Band: H
163,"Eaton Place, London, SW1X",1796869500,13,Apartment,10,7000,Ask agent,-,Ask agent,Band: H
164,"Melina Place, St John's Wood, London, NW8",1775667500,6,Semi-Detached,6,0,Yes,-,Yes,Band: H
165,"Cranley Gardens, London, SW7",1749165000,6,Terraced,6,7000,Yes,-,Ask agent,Band: H
166,"Wilton Crescent, Belgravia",1749165000,5,House,5,0,Yes,-,Ask agent,Ask agent
167,"Charles Street, Mayfair, W1J",1749165000,8,House,8,6000,Ask agent,-,Ask agent,Band: H
168,"Elsworthy Road, London, NW3",1749165000,7,Detached,5,6000,Yes,-,Yes,Ask agent
169,"Lowndes Street, Belgravia, London, SW1X",1749165000,10,Terraced,12,0,Ask agent,-,Ask agent,Band: H
170,"Belsize Lane, Hampstead, London, NW3",1749165000,7,Detached,6,8000,Yes,-,Ask agent,Band: H
171,"Elgin Crescent, London, W11",1749165000,7,Semi-Detached,4,0,Ask agent,-,Yes,Band: H
172,"Lowndes Street, London, SW1X",1749165000,10,Terraced,10,7000,Ask agent,-,Ask agent,Band: H
173,"William Street, London, SW1X",1722662500,4,Apartment,4,3000,Terrace,"TENURE
Leasehold",Ask agent,Ask agent
174,"Knightsbridge Gate, Apartment 3, 1 William Street, London, SW1X",1722662500,4,Apartment,4,3000,Ask agent,"TENURE
Leasehold",Ask agent,Band: H
175,"Sutherland Avenue, Maida Vale",265025000,3,Flat,2,0,Yes,"TENURE
Share of Freehold",Ask agent,Ask agent
176,"Lancelot Place, London, SW7",1712061500,5,Town House,3684,0,Ask agent,-,Yes,Ask agent
177,"Lancelot Place, London, SW7",1712061500,5,Town House,3684,0,Ask agent,-,Yes,Ask agent
178,"Lancelot Place, London, SW7",1712061500,5,Town House,3684,0,Ask agent,-,Yes,Ask agent
179,"Hyde Park Gate, London, SW7",1696160000,8,Penthouse,8,9000,Yes,"TENURE
Share of Freehold",Yes,Band: H
180,"Lancer Square, Residence 22, 1 Lancer Square, London, W8",1696160000,4,Apartment,4,3000,Yes,"TENURE
Leasehold",Yes,Band: H
181,"South Audley Street, London, W1K",1696160000,6,Apartment,7,4000,Ask agent,"TENURE
Leasehold",Yes,Ask agent
182,"Eaton Mews South, London, SW1W",1696160000,3,Town House,4,4000,Yes,-,Yes,Ask agent
183,"South Audley Street, Mayfair, London, W1K",1696160000,6,Apartment,6,3000,Ask agent,"TENURE
Leasehold",Yes,Band: H
184,"Eaton Mews South, Belgravia, SW1W",1696160000,3,Mews,4,4000,Yes,-,Yes,Ask agent
185,"Lancer Square, Kensington Church Street, Kensington W8 4LD",1696160000,4,Apartment,4,0,Ask agent,"TENURE
Leasehold",Yes,Ask agent
186,"Park Square West, Regents Park, London, NW1",1690859500,6,Terraced,8,0,Yes,"TENURE
Leasehold",Ask agent,Band: H
187,"Park Square West, London, NW1",1690859500,6,Terraced,7,6000,"Communal garden,","TENURE
Leasehold","Permit,",Ask agent
188,"William Street, London, SW1X",1690859500,4,Apartment,4,3000,Terrace,"TENURE
Leasehold",Ask agent,Ask agent
189,"William Street, London, SW1X",1669657500,4,Apartment,4,3000,Terrace,"TENURE
Leasehold",Ask agent,Ask agent
190,"Bedford Gardens, London, W8",1643155000,6,Town House,7,6000,Yes,-,Yes,Ask agent
191,"Arlington Street, SW1A",1643155000,3,Penthouse,3,3000,Yes,"TENURE
Leasehold",Ask agent,Band: H
192,"Norfolk Road, St John's Wood, NW8",1643155000,6,Detached,5,0,Yes,-,Yes,Band: H
193,"Bedford Gardens, Kensington, London, W8",1643155000,6,Semi-Detached,7,6000,Yes,-,Yes,Band: H
194,"Walpole Mayfair, Arlington Street, London, SW1A",1643155000,3,Penthouse,3,0,Yes,"TENURE
Leasehold",Yes,Ask agent
195,"Arlington Street, St. James's",1643155000,3,Flat,3,4000,Ask agent,"TENURE
Leasehold",Ask agent,Ask agent
196,"Lancer Square, Kensington Church St, W8 4LD",1643155000,4,Apartment,4,0,Ask agent,"TENURE
Leasehold",Yes,Ask agent
197,"Cannon Lane East Heath Road, Hampstead, NW3",1590150000,5,Semi-Detached,5,7000,Yes,-,Yes,Band: H
198,"GORE STREET, London, SW7",1590150000,6,Terraced,6,6000,Terrace,"TENURE
Leasehold",Garage,Band: H
199,"Park Modern, Apartment 51, 123 Bayswater Road, London, W2",1590150000,3,Apartment,2,2000,Yes,"TENURE
Leasehold",Yes,Band: TBC
200,"New Kings Road, London, SW6",93288800,2,Maisonette,1,1000,Ask agent,"TENURE
Leasehold",Ask agent,Band: E
201,"Park Street, Mayfair",1590150000,7,Flat,6,1000,Ask agent,"TENURE
Leasehold",Ask agent,Ask agent
202,"The Bishops Avenue Knolehurst, London, N2",1590150000,7,Detached,7,11000,Yes,-,Yes,Band: H
203,"The Bishops Avenue, London, N2",1590150000,6,Detached,5,0,Yes,-,Yes,Band: H
204,"Chalcot Square, Primrose Hill, London",1590150000,6,Terraced,5,4000,Yes,-,Ask agent,Band: TBC
205,"Academy Gardens, Duchess of Bedfords Walk, London, W8",1590150000,5,Apartment,6,5000,Yes,"TENURE
Share of Freehold",Yes,Band: H
206,"Chester Square, London, SW1W",1590150000,5,House,7,4000,Ask agent,-,Yes,Ask agent
207,"Gore Street, South Kensington SW7",1590150000,6,Terraced,6,0,Yes,"TENURE
Leasehold",Yes,Band: H
208,"Chester Street, London, SW1X",1584849500,5,Terraced,5,5000,Yes,-,Yes,Band: H
209,"Ovington Square, London, SW3",1584849500,5,Terraced,5,5000,"Patio,",-,"Underground,",Ask agent
210,"Acacia Road, St Johns Wood, NW8",1584849500,7,Detached,5,6000,Ask agent,-,Ask agent,Band: TBC
211,"Gilston Road, Chelsea, London",1584849500,5,House,3,4000,Ask agent,-,Yes,Band: H
212,"Pont Street Mews, London, SW1X",1584849500,5,Mews,5,5000,Ask agent,-,Yes,Band: H
213,"Acacia Road, London, NW8",1584849500,7,Detached,6,6000,Ask agent,-,Ask agent,Band: TBC
214,"Moxon Street, W1U",1584849500,3,Block of Apartments,3,2000,Terrace,"TENURE
Leasehold",Yes,Ask agent
215,"Marylebone Square, Marylebone W1",1584849500,3,Flat,3,2000,Ask agent,-,Yes,Ask agent
216,"Acacia Road, St John's Wood, London, NW8",1584849500,7,Detached,5,6000,Yes,-,Yes,Band: H
217,"Pont Street Mews, Knightsbridge, London, SW1X",1584849500,5,House,7,0,Ask agent,-,Yes,Band: H
218,"Gilston Road, London, SW10",1584849500,6,Terraced,3,4000,Ask agent,-,Yes,Band: H
219,"South Audley Street, London, W1K",1563647500,3,Apartment,5,2000,Ask agent,"TENURE
Share of Freehold",Yes,Band: G
220,"Lancer Square, Kensington Church Street, Kensington, London W8 4LD",1547746000,4,Apartment,4,0,Yes,"TENURE
Leasehold",Yes,Ask agent
221,"Lancer Square, Apartment 23, 1 Lancer Square, Kensington Church St, W8",1547746000,4,Apartment,3,3000,Yes,"TENURE
Leasehold",Yes,Band: H
222,"Cheyne Gardens, Chelsea, London, SW3",1537145000,8,End of Terrace,7,5000,Yes,-,Ask agent,Band: H
223,"Beaufort Gardens, London, SW3",1537145000,3,Apartment,4,0,Yes,-,Ask agent,Band: TBC
224,"Wilton Crescent, London, SW1X",1537145000,7,End of Terrace,5,5000,Ask agent,-,Yes,Band: H
225,"Gloucester Terrace, Bayswater",60955750,3,Flat,1,0,Yes,"TENURE
Leasehold",Ask agent,Ask agent
226,"Craven Street, London, WC2N",1537145000,4,Penthouse,4,4000,Yes,"TENURE
Leasehold",Ask agent,Ask agent
227,"Wilton Crescent, London, SW1X",1537145000,8,Town House,9,5000,Ask agent,-,Yes,Ask agent
228,"Cheyne Gardens, London, SW3",1537145000,8,Town House,7,5000,Yes,-,Ask agent,Band: H
229,"The Bryanston, Hyde Park",1510642500,3,Flat,3,2000,Ask agent,-,Yes,Ask agent
230,"The Bryanston, Hyde Park, 55 Bryanston Street, Marylebone, London, W1H 7BZ",1510642500,3,Apartment,3,0,Ask agent,"TENURE
Leasehold",Yes,Ask agent
231,"Pembridge Crescent, Notting Hill, London, W11",1484140000,4,House,5,5000,Yes,-,Yes,Band: H
232,Montpelier Square,1484140000,5,House,3,4000,Ask agent,-,Ask agent,Band: TBC
233,"Lancelot Place, Knightsbridge",1484140000,4,Apartment,3,2000,Ask agent,-,Yes,Ask agent
234,"Pembridge Crescent, London, W11 3DU",1484140000,4,Detached,5,5000,Yes,-,-,Band: H
235,"Frognal Way, Hampstead Village, London, NW3",1478839500,6,Detached,6,8000,Yes,-,Yes,Band: H
236,"Knightsbridge, London, SW7",1478839500,5,House,5,5000,Yes,-,Ask agent,Ask agent
237,"Inverforth House, London, NW3",1478839500,5,Detached,5,8000,Yes,"TENURE
Share of Freehold",Yes,Band: H
238,"North End Way, Hampstead, London, NW3",1478839500,5,Terraced,5,8000,Yes,"TENURE
Share of Freehold",Yes,Band: H
239,"10 Park Crescent, London, W1B",1478839500,4,Apartment,4,4000,"Communal garden,","TENURE
Leasehold",Garage,Ask agent
240,"South Street, London, W1K",1478839500,7,Terraced,8,6000,Yes,-,Ask agent,Band: H
241,"South Street, Mayfair",1478839500,6,House,5,6000,Yes,-,Ask agent,Ask agent
242,"North End Way, Hampstead, NW3",1478839500,5,House,5,0,Yes,"TENURE
Share of Freehold",Yes,Ask agent
243,"Cheyne Place, Chelsea",1478839500,8,House,6,7000,Yes,-,Ask agent,Ask agent
244,"Chelsea Barracks, Belgravia,SW1W",1473539000,3,Apartment,3,2000,Yes,"TENURE
Leasehold",Off street,Band: H
245,"Chelsea Harbour, London, SW10",1462938000,5,Apartment,4787,0,Yes,-,Yes,Ask agent
246,"Eaton Square, London, SW1W",1457637500,3,Apartment,3,2000,Ask agent,-,Ask agent,Ask agent
247,"Chelsea Waterfront, Chelsea, London, SW10",1431135000,9,Flat,8,5000,Yes,"TENURE
Leasehold",Ask agent,Ask agent
248,"Beaufort Gardens, London, SW3",1431135000,3,Parking,7,0,Yes,-,Ask agent,Band: TBC
249,"Elsworthy Road, Primrose Hill, London, NW3",1431135000,6,Detached,4,4000,Yes,-,Yes,Band: H
